tanggal_kejadian,lokasi_kejadian,wilayah,sarana_rusak,kategori_sarana_rusak,penyebab_bencana,jumlah_sarana_menangani,tim_yang_menangani,lokasi_pengungsi,kerugian
2017-01-10,"Jl. Ulujami Raya, RT. 01 RW. 01 Kel. Ulujami Kec. Pesanggrahan",Jakarta Selatan,1,Mushola,Korsleting Listrik,0,Dinas Pemadam Kebakaran ,Tidak ada,0
2017-01-11,Jl. Pejaten Indah Mas Blok X RT. 11 RW. 12 Kel. Pasar Minggu Kec. Pasar Minggu,Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,6,Dinas Pemadam Kebakaran ,Tidak ada,5000000
2017-01-12,Jl. Pejaten Barat II RT. 05 RW. 08 Kel. Pejaten Barat Kec. Pasar Minggu,Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,5,Dinas Pemadam Kebakaran ,Tidak ada,200000000
2017-01-14,Jl. Pejaten Raya No. 5 E Kel. Pejaten Barat Kec. Pasar Minggu,Jakarta Selatan,1,Gedung,Korsleting Listrik,5,Dinas Pemadam Kebakaran ,Tidak ada,350000000
2017-01-15,Jl. Kyai Maja Mayestik Kel. Gunung Kec. Kebayoran Baru,Jakarta Selatan,1,Ruko,Korsleting Listrik,14,Dinas Pemadam Kebakaran ,Tidak ada,450000000
2017-01-15,Jl. Kyai Maja No.77B RT 013 RW 003 Kel. Gunung Kec. Kebayoran Baru,Jakarta Selatan,1,Ruko,Korsleting Listrik,1,Dinas Pemadam Kebakaran ,Tidak ada,0
2017-01-16,"Jl. Cilandak KKO, Gg. Pahala No. 19 RT. 12 RW. 05 Kel. Ragunan Kec. Pasar Minggu",Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,6,Dinas Pemadam Kebakaran ,Tidak ada,50000000
2017-01-16,Jl. H. Miran RT. 15 RW. 06 Kel. Cilandak Barat Kec. Cilandak,Jakarta Selatan,4,Rumah Kontrakan,Korsleting Listrik,13,Dinas Pemadam Kebakaran ,Tidak ada,540000000
2017-01-16,Jl. H. Miran RT. 15 RW. 06 Kel. Cilandak Barat Kec. Cilandak,Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,0,Dinas Pemadam Kebakaran ,Tidak ada,0
2017-01-16,Jl. Kayu Putih No. 1 RT. 07 RW. 01 Kel. Pondok Labu Kec. Cilandak,Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,4,Dinas Pemadam Kebakaran ,Tidak ada,8000000
2017-01-20,Jl. Srengseng Sawah No. 54 RT. 01 RW. 09 Kel. Srengseng Sawah Kec. Jagakarsa,Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,5,Dinas Pemadam Kebakaran ,Tidak ada,300000000
2017-01-22,Jl. Bunga Matahari RT. 13 RW. 15 Kel. Cipete Selatan Kec. Cilandak,Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,1,Dinas Pemadam Kebakaran ,Tidak ada,10000000
2017-01-22,Jl. Kapten Tendean Gg. Jati RT 08 RW. 01 Kel. Mampang  Prapatan Kec. Mampang,Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,5,Dinas Pemadam Kebakaran ,Tidak ada,20000000
2017-01-26,Jl. Rawajati RT. 04 RW. 04 Kel. Kalibata Kec. Pancoran,Jakarta Selatan,1,Rumah Tinggal,Kompor Gas,1,Dinas Pemadam Kebakaran ,Tidak ada,500000
2017-01-27,Jl. Genteng Ijo No. 3 B RT. 01 RW. 07 Kel. Karet Kuningan Kec. Setiabudi,Jakarta Selatan,2,Rumah Kost,Korsleting Listrik,22,Dinas Pemadam Kebakaran ,Tidak ada,570000000
2017-01-29,Jl. Bintaro Permai Raya RT. 06 RW. 02 Kel. Pesanggrahan Kec. Pesanggrahan,Jakarta Selatan,1,Lapak,Korsleting Listrik,1,Dinas Pemadam Kebakaran ,Tidak ada,5000000
2017-01-29,Jl. Pengadegan RT. 06 RW. 03 Kel. Pengadegan Kec. Pancoran ,Jakarta Selatan,1,Rumah Tinggal,Korsleting Listrik,4,Dinas Pemadam Kebakaran ,Tidak ada,25000000
2017-01-05,Jl. Jl.Batu Ampar III RT. 01 RW. 04 Kel. Batu Ampar Kec. Kramat Jati,Jakarta Timur,1,Kios,Korsleting Listrik,2,Dinas Pemadam Kebakaran ,Tidak ada,30000000
2017-01-07,Jl. Candra RT. 06 RW. 09 Komp. Angkasa Kel. Halim Perdanakusuma Kec. Makasar,Jakarta Timur,2,Rumah Tinggal,Korsleting Listrik,11,Dinas Pemadam Kebakaran ,Tidak ada,600000000
2017-01-08,Jl. Bojong indah RT/RW 004/06 Kel. Pondok Kelapa Kec. Duren Sawit,Jakarta Timur,2,Rumah Tinggal,Korsleting Listrik,17,Dinas Pemadam Kebakaran ,Disekitar Lokasi,3000000000
2017-01-08,Jl. Bojong indah RT/RW 004/06 Kel. Pondok Kelapa Kec. Duren Sawit,Jakarta Timur,14,Rumah Semi Permanen,Korsleting Listrik,0,Dinas Pemadam Kebakaran ,Disekitar Lokasi,0
2017-01-14,Jl. H. Hanafi RT 016 RW 03 Kel. Pondok Bambu Kec. Duren Sawit,Jakarta Timur,1,Rumah Tinggal,Korsleting Listrik,9,Dinas Pemadam Kebakaran ,Tidak ada,500000000
2017-01-16,"Jl. Pemuda Raya KM. 18, PT Antam Pulogadung Kel.  Jatinegara Kaum Kec. Pulogadung",Jakarta Timur,1,Pabrik,Dalam Penyelidikan,12,Dinas Pemadam Kebakaran ,Tidak ada,0
2017-01-20,Jl. Nusa Indah Raya RT. 13 RW. 03 Kel. Malaka Jaya Kec. Duren Sawit,Jakarta Timur,1,Rumah Usaha,Kompor Gas,2,Dinas Pemadam Kebakaran ,Tidak ada,1000000
2017-01-23,Jl. Alvan Dukuh V RT. 02 RW. 05 Kel. Dukuh Kec. Kramat Jati,Jakarta Timur,1,Ruangan Sekolah,Korsleting Listrik,2,Dinas Pemadam Kebakaran ,Tidak ada,8000000
2017-01-24,"Jl. Utan Kayu Selatan No.30,  RT.001, RW.009 Kel. Utan Kayu Selatan Kec. Matraman",Jakarta Timur,1,Rumah Tinggal,Korsleting Listrik,2,Dinas Pemadam Kebakaran ,Tidak ada,50000000
